Disease,Medication,Disease_clean
Panic disorder,"['SSRIs (e.g., Sertraline, Fluoxetine)', 'Benzodiazepines (e.g., Clonazepam, Alprazolam)', 'SNRIs (e.g., Venlafaxine)', 'Beta-blockers', 'Cognitive Behavioral Therapy (CBT)']",panic disorder
Vaginitis,"['Metronidazole', 'Clindamycin', 'Fluconazole', 'Hydrocortisone cream', 'Probiotic supplements']",vaginitis
Problem during pregnancy,"['Prenatal vitamins', 'Iron supplements', 'Antihypertensives (e.g., Labetalol)', 'Insulin (for gestational diabetes)', 'Folic acid']",problem pregnancy
Acute pancreatitis,"['IV fluids', 'Pain relievers (e.g., Morphine)', 'Antibiotics (if infection)', 'Enzyme replacement therapy', 'Fasting/NPO']",acute pancreatitis
Asthma,"['Inhaled corticosteroids (e.g., Fluticasone)', 'Beta-agonists (e.g., Albuterol)', 'Leukotriene modifiers (e.g., Montelukast)', 'Anticholinergics (e.g., Ipratropium)', 'Omalizumab']",asthma
Infectious gastroenteritis,"['Oral rehydration salts (ORS)', 'Antibiotics (e.g., Ciprofloxacin, if bacterial)', 'Antiemetics (e.g., Ondansetron)', 'Probiotics', 'Loperamide (if appropriate)']",infectious gastroenteritis
Acute sinusitis,"['Saline nasal spray', 'Decongestants (e.g., Pseudoephedrine)', 'Nasal corticosteroids', 'Antibiotics (if bacterial)', 'Acetaminophen for pain']",acute sinusitis
Cornea infection,"['Antibiotic eye drops (e.g., Ciprofloxacin)', 'Antiviral eye drops (e.g., Ganciclovir)', 'Antifungal drops (e.g., Natamycin)', 'Lubricant eye drops', 'Steroids (in selected cases)']",cornea infection
Marijuana abuse,"['Behavioral therapy', 'CBT', 'Motivational enhancement therapy', 'No FDA-approved medications', 'Support groups (e.g., NA)']",marijuana abuse
Bursitis,"['NSAIDs (e.g., Ibuprofen)', 'Corticosteroid injections', 'Ice packs', 'Physical therapy', 'Antibiotics (if septic bursitis)']",bursitis
Actinic keratosis,"['Topical 5-fluorouracil', 'Imiquimod cream', 'Diclofenac gel', 'Cryotherapy', 'Photodynamic therapy']",actinic keratosis
Chronic obstructive pulmonary disease (COPD),"['Bronchodilators (e.g., Salbutamol)', 'Inhaled corticosteroids', 'Phosphodiesterase-4 inhibitors (e.g., Roflumilast)', 'Oxygen therapy', 'Antibiotics during exacerbations']",chronic obstructive pulmonary disease copd
Spondylosis,"['NSAIDs (e.g., Naproxen)', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Surgery in severe cases']",spondylosis
Injury to the arm,"['Pain relievers (e.g., Acetaminophen)', 'Cold compress', 'Immobilization/splinting', 'Antibiotics (if open wound)', 'Physical therapy']",injury arm
Complex regional pain syndrome,"['Gabapentin', 'Amitriptyline', 'Physical therapy', 'Corticosteroids', 'Nerve blocks']",complex regional pain syndrome
Injury to the trunk,"['Pain relievers (e.g., Ibuprofen)', 'Ice/heat therapy', 'Muscle relaxants', 'Wound care (if external)', 'Physiotherapy']",injury trunk
Vulvodynia,"['Topical Lidocaine', 'Tricyclic antidepressants (e.g., Amitriptyline)', 'Gabapentin', 'Physical therapy', 'Cognitive behavioral therapy']",vulvodynia
Concussion,"['Rest', 'Acetaminophen (avoid NSAIDs early)', 'Cognitive rest', 'Hydration', 'Gradual return to activities']",concussion
Hypoglycemia,"['Glucose tablets', 'Juice or sugary snacks', 'Glucagon injection (emergency)', 'Adjust insulin or diabetes medication', 'Frequent meals']",hypoglycemia
Hiatal hernia,"['Antacids', 'Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Prokinetic agents', 'Surgery (in severe cases)']",hiatal hernia
Allergy,"['Antihistamines (e.g., Loratadine)', 'Decongestants (e.g., Pseudoephedrine)', 'Epinephrine auto-injectors', 'Corticosteroids', 'Immunotherapy (allergy shots)']",allergy
Acute bronchospasm,"['Short-acting beta-agonists (e.g., Albuterol)', 'Anticholinergics', 'Systemic corticosteroids', 'Oxygen therapy', 'Magnesium sulfate (in severe cases)']",acute bronchospasm
Degenerative disc disease,"['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgery (e.g., spinal fusion in advanced cases)']",degenerative disc disease
Pain after an operation,"['Acetaminophen', 'Opioids (e.g., Morphine, Tramadol)', 'NSAIDs', 'Local anesthetics', 'Nerve blocks']",pain operation
Injury to the leg,"['Pain relievers', 'Compression bandages', 'Crutches or brace', 'Physical therapy', 'Antibiotics (if open wound)']",injury leg
Gout,"['Colchicine', 'NSAIDs (e.g., Indomethacin)', 'Allopurinol', 'Febuxostat', 'Corticosteroids']",gout
Otitis media,"['Amoxicillin', 'Cefdinir', 'Acetaminophen for pain', 'Decongestants', 'Tympanostomy (if recurrent)']",otitis medium
Acute kidney injury,"['IV fluids', 'Diuretics (e.g., Furosemide)', 'Electrolyte management', 'Discontinue nephrotoxic drugs', 'Dialysis (if severe)']",acute kidney injury
Threatened pregnancy,"['Progesterone supplements', 'Folic acid', 'Bed rest (limited use)', 'IV fluids (if dehydrated)', 'Close monitoring with ultrasound']",threatened pregnancy
Gum disease,"['Antibacterial mouthwash (e.g., Chlorhexidine)', 'Scaling and root planing', 'Doxycycline', 'Fluoride toothpaste', 'Surgical interventions (if severe)']",gum disease
Gastrointestinal hemorrhage,"['IV proton pump inhibitors (e.g., Pantoprazole)', 'Endoscopic hemostasis', 'Blood transfusion', 'Octreotide (for variceal bleeding)', 'Antibiotics (e.g., Ceftriaxone) if cirrhosis present']",gastrointestinal hemorrhage
Anxiety,"['SSRIs (e.g., Escitalopram)', 'SNRIs (e.g., Duloxetine)', 'Benzodiazepines (short-term use)', 'Buspirone', 'Cognitive Behavioral Therapy (CBT)']",anxiety
