Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Disease_clean
Panic disorder,Practice deep breathing,Avoid caffeine,Follow therapy plan,Seek support from loved ones,panic disorder
Vaginitis,Wear breathable cotton underwear,Avoid douching,Maintain genital hygiene,Avoid scented hygiene products,vaginitis
Problem during pregnancy,Attend regular prenatal visits,Avoid alcohol and smoking,Eat a balanced diet,Get adequate rest,problem pregnancy
Acute pancreatitis,Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly,acute pancreatitis
Asthma,Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy,asthma
Infectious gastroenteritis,Wash hands frequently,Avoid sharing utensils,Drink clean water,Avoid street food,infectious gastroenteritis
Acute sinusitis,Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses,acute sinusitis
Cornea infection,Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics,cornea infection
Marijuana abuse,Avoid peer pressure,Seek counseling,Build healthy habits,Avoid triggering environments,marijuana abuse
Bursitis,Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain,bursitis
Actinic keratosis,Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly,actinic keratosis
COPD,Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu,copd
Spondylosis,Maintain good posture,Exercise regularly,Use ergonomic chairs,Avoid lifting heavy weights,spondylosis
Injury to the arm,Immobilize the arm,Apply cold compress,Elevate the arm,Seek medical care if swelling,injury arm
Complex regional pain syndrome,Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb,complex regional pain syndrome
Injury to the trunk,Apply ice or heat,Rest adequately,Use support belts if advised,Avoid strenuous activity,injury trunk
Vulvodynia,Wear loose cotton clothing,Avoid scented products,Use prescribed creams,Manage stress levels,vulvodynia
Concussion,Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist,concussion
Hypoglycemia,Eat small frequent meals,Carry glucose tablets,Avoid skipping meals,Monitor blood sugar levels,hypoglycemia
Hiatal hernia,Eat small frequent meals,Avoid lying down after eating,Avoid spicy food,Maintain healthy weight,hiatal hernia
Allergy,Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens,allergy
Acute bronchospasm,Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns,acute bronchospasm
Degenerative disc disease,Maintain healthy weight,Avoid lifting heavy items,Engage in back exercises,Use lumbar support,degenerative disc disease
Pain after an operation,Take pain meds as prescribed,Avoid physical strain,Keep surgical area clean,Attend follow-up appointments,pain operation
Injury to the leg,Elevate the leg,Apply ice packs,Avoid putting weight,Use crutches if advised,injury leg
Gout,Avoid purine-rich food,Stay hydrated,Limit alcohol intake,Take medication as prescribed,gout
Otitis media,Avoid water entering ears,Take antibiotics as prescribed,Use warm compress,Follow up with ENT specialist,otitis medium
Acute kidney injury,Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan,acute kidney injury
Threatened pregnancy,Take prescribed medications,Avoid stress and lifting heavy items,Get regular checkups,Rest as recommended,threatened pregnancy
Gum disease,Maintain oral hygiene,Floss daily,Avoid smoking,Visit dentist regularly,gum disease
Gastrointestinal hemorrhage,Avoid NSAIDs,Eat a soft bland diet,Limit alcohol,Follow up with GI specialist,gastrointestinal hemorrhage
Anxiety,Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed,anxiety
Conjunctivitis due to allergy,Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens,conjunctivitis due allergy
Drug reaction,Stop the drug immediately,Consult a doctor,Use antihistamines if prescribed,Monitor for worsening symptoms,drug reaction
Macular degeneration,Wear sunglasses,Eat leafy greens,Avoid smoking,Regular eye checkups,macular degeneration
Pneumonia,Take full course of antibiotics,Avoid smoking,Rest adequately,Stay hydrated,pneumonia
Vaginal cyst,Maintain genital hygiene,Avoid tight clothing,Do warm sitz baths,Follow doctor’s advice,vaginal cyst
Carpal tunnel syndrome,Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises,carpal tunnel syndrome
